iter	Logloss
0	0.6794147754
1	0.6674502344
2	0.6552980029
3	0.6438285938
4	0.6331156348
5	0.6236988623
6	0.6153482178
7	0.6067454688
8	0.5989978418
9	0.5916338428
10	0.5839483643
11	0.5770397803
12	0.5706111572
13	0.5641752148
14	0.5578282129
15	0.5527893262
16	0.5475134961
17	0.5431393408
18	0.5393045605
19	0.5353058691
20	0.5309441748
21	0.5274133447
22	0.5236609863
23	0.520552251
24	0.5175544238
25	0.5146012109
26	0.5113336572
27	0.5080088086
28	0.5057564062
29	0.5029365869
30	0.5001086328
31	0.4975137842
32	0.495222002
33	0.4931682617
34	0.4909845361
35	0.4886922852
36	0.4868524219
37	0.4848478125
38	0.4828180762
39	0.4806950098
40	0.4794485205
41	0.4779812744
42	0.4764650781
43	0.4746680664
44	0.4730862012
45	0.4717515186
46	0.4700873779
47	0.4685667725
48	0.4669653516
49	0.4658409277
50	0.46478229
51	0.4636701855
52	0.4618880273
53	0.4605446436
54	0.459183833
55	0.4577295654
56	0.4562554395
57	0.4554507715
58	0.4544054053
59	0.4536476709
60	0.4528043311
61	0.451763418
62	0.4507439404
63	0.4498668164
64	0.4491073682
65	0.4485088623
66	0.4473105762
67	0.4467274219
68	0.4454937744
69	0.4447361328
70	0.4435527588
71	0.4429983789
72	0.4422449902
73	0.44134021
74	0.4403456885
75	0.4395279346
76	0.438687085
77	0.4382146582
78	0.4376122119
79	0.4371368701
80	0.4365579639
81	0.4359645752
82	0.4354153613
83	0.4347531836
84	0.4339521143
85	0.4333197217
86	0.4328148633
87	0.4319582764
88	0.4313898193
89	0.4307361328
90	0.4300605127
91	0.4290830713
92	0.4288160205
93	0.4282858887
94	0.4277556641
95	0.4269865723
96	0.4265580469
97	0.4259110107
98	0.425422998
99	0.4250933594
100	0.4245791895
101	0.4241262842
102	0.4236842676
103	0.4230315674
104	0.4225995068
105	0.4219314062
106	0.4214280518
107	0.421153252
108	0.4208709814
109	0.4205061523
110	0.4197581006
111	0.4192342285
112	0.4189160498
113	0.4185764697
114	0.418354375
115	0.418046001
116	0.417628418
117	0.4173672412
118	0.4168475732
119	0.4163347412
120	0.416035957
121	0.4156970898
122	0.4154696387
123	0.4150912988
124	0.4148095752
125	0.4145649414
126	0.4138897217
127	0.4134895068
128	0.4129862646
129	0.4126468359
