iter	Passed	Remaining
0	71	142341
1	145	145225
2	216	144424
3	283	141469
4	409	163545
5	476	158490
6	552	157192
7	625	155788
8	695	153912
9	768	152922
10	842	152279
11	920	152539
12	988	151088
13	1076	152662
14	1149	152149
15	1225	151988
16	1309	152723
17	1395	153627
18	1470	153355
19	1548	153344
20	1636	154253
21	1707	153544
22	1809	155568
23	1881	154884
24	1953	154303
25	2047	155439
26	2139	156332
27	2218	156228
28	2304	156657
29	2394	157228
30	2472	157041
31	2547	156676
32	2625	156498
33	2698	156021
34	2767	155370
35	2842	155077
36	2914	154647
37	2987	154231
38	3058	153772
39	3126	153221
40	3192	152526
41	3264	152204
42	3354	152666
43	3440	152938
44	3513	152661
45	3581	152134
46	3683	153048
47	3763	153063
48	3872	154193
49	3967	154715
50	4065	155375
51	4176	156449
52	4268	156815
53	4346	156622
54	4442	157111
55	4526	157117
56	4612	157218
57	4685	156898
58	4758	156535
59	4829	156142
60	4906	155964
61	4986	155865
62	5061	155633
63	5127	155106
64	5198	154760
65	5269	154408
66	5352	154437
67	5417	153912
68	5526	154653
69	5625	155092
70	5716	155306
71	5794	155168
72	5858	154648
73	5937	154523
74	6021	154545
75	6090	154185
76	6155	153729
77	6220	153273
78	6301	153226
79	6372	152928
80	6441	152607
81	6513	152346
82	6602	152483
83	6704	152935
84	6773	152613
85	6843	152316
86	6910	151942
87	7002	152140
88	7101	152482
89	7193	152653
90	7261	152339
91	7333	152094
92	7390	151553
93	7466	151385
94	7565	151700
95	7671	152155
96	7748	152017
97	7818	151738
98	7892	151544
99	7975	151527
100	8097	152252
101	8224	153036
102	8343	153668
103	8469	154406
104	8536	154064
105	8636	154317
106	8734	154531
107	8824	154597
108	8923	154803
109	8997	154586
110	9079	154521
111	9158	154383
112	9228	154113
113	9298	153828
114	9374	153659
115	9450	153489
116	9522	153256
117	9596	153057
118	9673	152909
119	9752	152792
120	9824	152570
121	9891	152257
122	9959	151984
123	10037	151854
124	10101	151521
125	10167	151215
126	10244	151080
127	10314	150844
128	10392	150726
129	10472	150636
130	10549	150517
131	10621	150304
132	10686	150013
133	10750	149705
134	10819	149467
135	10901	149408
136	10985	149385
137	11059	149218
138	11134	149070
139	11199	148790
140	11257	148425
141	11324	148180
142	11401	148059
143	11471	147853
144	11539	147623
145	11602	147337
146	11660	146980
147	11733	146829
148	11810	146723
149	11877	146493
150	11946	146284
151	12014	146072
152	12072	145743
153	12125	145352
154	12188	145081
155	12260	144924
156	12337	144830
157	12411	144701
158	12464	144316
159	12537	144179
160	12603	143965
161	12681	143884
162	12762	143835
163	12822	143544
164	12884	143287
165	12949	143071
166	13016	142873
167	13093	142782
168	13158	142559
169	13219	142308
170	13283	142077
171	13357	141967
172	13419	141723
173	13486	141533
174	13554	141349
175	13628	141238
176	13681	140912
177	13752	140774
178	13814	140534
179	13876	140311
180	13934	140040
181	13962	139467
182	14027	139277
183	14092	139085
184	14169	139018
185	14237	138852
186	14317	138807
187	14410	138896
188	14510	139042
189	14616	139240
190	14693	139168
191	14756	138958
192	14827	138826
193	14906	138765
194	14974	138609
195	15037	138403
196	15122	138406
197	15206	138395
198	15273	138227
199	15359	138235
200	15433	138137
201	15512	138077
202	15645	138495
203	15752	138684
204	15861	138881
205	15943	138848
206	16033	138875
207	16143	139080
208	16210	138909
209	16281	138776
210	16357	138687
211	16437	138635
212	16528	138669
213	16607	138606
214	16695	138611
215	16773	138536
216	16960	139361
217	17082	139635
218	17180	139721
219	17269	139726
220	17334	139541
221	17403	139380
222	17460	139139
223	17519	138908
224	17599	138838
225	17659	138619
226	17715	138370
227	17774	138142
228	17839	137966
229	17898	137741
230	17954	137494
231	18014	137286
232	18075	137082
233	18135	136867
234	18200	136698
235	18261	136499
236	18318	136269
237	18370	136000
238	18442	135891
239	18505	135704
240	18569	135536
241	18631	135349
242	18696	135182
243	18768	135074
244	18830	134891
245	18899	134757
246	18966	134611
247	19027	134421
248	19091	134254
249	19160	134120
250	19230	133997
251	19286	133783
252	19355	133651
253	19430	133564
254	19510	133510
255	19580	133390
256	19642	133217
257	19704	133044
258	19766	132867
259	19834	132735
260	19902	132607
261	19966	132446
262	20028	132278
263	20089	132103
264	20165	132025
265	20231	131886
266	20318	131881
267	20386	131754
268	20469	131719
269	20545	131643
270	20607	131476
271	20692	131456
272	20765	131360
273	20831	131224
274	20903	131122
275	20969	130982
276	21033	130831
277	21091	130643
278	21149	130457
279	21212	130305
280	21267	130100
281	21334	129974
282	21400	129839
283	21471	129734
284	21531	129568
285	21594	129417
286	21666	129319
287	21740	129237
288	21822	129196
289	21898	129127
290	21962	128983
291	22028	128850
292	22089	128694
293	22153	128552
294	22236	128519
295	22301	128381
296	22379	128325
297	22447	128205
298	22507	128044
299	22570	127900
300	22628	127727
301	22703	127648
302	22776	127561
303	22860	127538
304	22944	127508
305	23010	127387
306	23085	127306
307	23159	127227
308	23225	127099
309	23286	126948
310	23353	126827
311	23409	126651
312	23472	126511
313	23525	126320
314	23598	126231
315	23668	126134
316	23748	126086
317	23807	125924
318	23900	125944
319	23993	125966
320	24067	125883
321	24124	125717
322	24185	125571
323	24249	125438
324	24323	125360
325	24380	125191
326	24447	125079
327	24505	124920
328	24568	124784
329	24645	124722
330	24727	124680
331	24802	124609
332	24879	124548
333	24951	124457
334	25020	124354
335	25094	124276
336	25153	124125
337	25240	124112
338	25314	124031
339	25372	123875
340	25440	123768
341	25506	123652
342	25574	123546
343	25648	123469
344	25704	123308
345	25769	123186
346	25839	123093
347	25908	122988
348	25990	122950
349	26060	122856
350	26122	122724
351	26203	122679
352	26278	122608
353	26348	122513
354	26413	122394
355	26480	122287
356	26541	122150
357	26607	122038
358	26678	121947
